net,length_um
net5,163.48
net1,156.14
_02_,141.24
net2,136.02
net3,128.325
_04_,125.04
net14,124.52
net10,118.38
_05_,113.12
net7,110.675
net6,103.94
net4,102.62
_00_,96.46
_06_,94.86
net13,84.96
_01_,77.38
_09_,67.3
net11,50.52
_07_,44.74
net12,42.86
net15,36.56
net9,27.14
_08_,25.56
net8,11.72
net16,10.78
x[4],6.77
x[5],6.77
x[0],6.09
x[1],6.09
x[3],5.97
y[4],5.75
y[2],5.41
y[5],5.41
y[0],5.07
y[1],5.07
y[7],5.07
x[6],4.95
x[7],4.95
x[2],4.73
y[3],4.39
y[6],4.39
_03_,3.1
